---,Participant,Text,JumpTo,EventName,ContinueFrom,Branchs,DialogueSound
[Start],"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Hey! Did you get kicked out, too?",1,,,,
1,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",No. Did you?,2,,,,
Q2,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Yeah. Too much rebelling against the system. You know, I think it's pretty weird that I did that.",,,,,
Q3a,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","I mean, he made me up, right. Like, I shouldn't be able to do that. Am I conscious? Is this what it's like? Am I real?",,,,,
3aa,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",But how do you know?,4aa,,,,
4aa,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Well you seem pretty real to me.,5aa,,,,
5aa,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","That doesn't really prove anything, though...",6,,,,
3ab,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I don't think you're taking my question seriously. I'm having a bit of an existential crisis here.,4ab,,,,
4ab,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Sorry. If it makes you feel better, I don't think anyone really knows if they're real.",5ab,,,,
5ab,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",That's so true.,6,,,,
6,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I'm looking for [REDACTED]. Do you know him?,7,,,,
7,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Once upon a time, yes.",8,,,,
8,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",And you don't anymore?,9,,,,
9,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Like I said. I got kicked out. It's not like they bother visiting.,10,,,,
10,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",You know anyone else who got kicked out?,11,,,,
11,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","I think someone else did long before I did. Not sure where they are, though. Not in town, that's for sure. If you just walk around a bit I'm sure you'll find her.",[Finish],,12,,
12,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",...,[Finish],,,,
