---,Participant,Text,JumpTo,EventName,ContinueFrom,Branchs,DialogueSound
[Start],"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",Hey hey.,2,,,,None
2,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Hey hey.,3,,,,None
3,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")","I'm Infyil. You're new, aren't you?",4,,,,
4,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Yeah. Is it that obvious?,5,,,,
5,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",Kinda. But I wouldn't fret over it. You'll fit in in no time.,6,,,,
6,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Do you know the others around here?,7,,,,
7,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",Know them? I practically am them. I know everybody who's anybody here and everywhere.,info_angel,,,"((RequirementType=None,RequirementValue=0.000000,Text=""Then do you know Angel?"",JumpTo=""info_angel"",EventName="""""""")),(RequirementType=None,RequirementValue=0.000000,Text=""Do you know Dreamer?"",JumpTo=""info_dreamer"",EventName=""""""""),(RequirementType=None,RequirementValue=0.000000,Text=""Are you familiar with Mezco?"",JumpTo=""info_mezcos"",EventName=""""""""),(RequirementType=None,RequirementValue=0.000000,Text=""Have you met the maintenance worker?"",JumpTo=""info_worker"",EventName="""""""")",
info_angel,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",She's my granddaughter. Of course I know her.,info_angel_1,,,,
info_angel_1,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",She was saying something weird about waking up. Does that mean anything to you?,info_angel_2,,,,
info_angel_2,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")","No, but then again, she's always saying the strangest things. I wouldn't take it too seriously if I were you.",[Finish],,6,,
info_worker,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",Do I look like I wander maintenance halls in my free time?,[Finish],,6,,
info_dreamer,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",Yeah. Why.,info_dreamer_1,,,,
info_dreamer_1,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Has he ever thought about leaving?,info_dreamer_2,,,,
info_dreamer_2,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",Leaving? Have you been talking to him about that? That fool's got enough of that from his sister. You stay outta that. You don't even know him.,[Finish],,6,,
info_mezco,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_1"")",Mezco? I think I've talked to him a few times.,[Finish],,6,,
