---,Participant,Text,JumpTo,EventName,ContinueFrom,Branchs,DialogueSound
[Start],"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",Do you need something?,2,,,,None
2,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",No,[Finish],,,,None
3,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")","Hey, Dreamer!",4,,,,
4,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",Hi,5,,,,
5,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",Who's your new buddy?,6,,,,
6,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",Oh. Oh my god. I forgot to ask your name.,7,,,,
7,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",It's all good.  Call me Dreamwalker,8,,,,
8,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",Huh. What are you doing around here?,9,,,,
9,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Just exploring.,10,,,,
10,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",I've been showing him around.,11,,,,
11,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",Showing him what?,12,,,,
12,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",Everything! It's really beautiful.,13,,,,
13,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")","Ehh. Everyone says that, but I don't really see it myself.",14,,,,
14,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",What do you mean?,15,,,,
15,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")","There's something about fungi that creeps me out. Always has. It's almost parasitic. Feeds off of death. I know it's an important part of the ecosystem, but truth be told, I can't bring myself to like it.",16,,,,
16,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",You don't need to stay if it creeps you out.,17,,,,
17,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")","What do you mean? I'm your sister. Through thick and thin, right? I'm not going until you're ready.",18,,,,
18,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",Ready to what?,19,,,,
19,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")","To, well, you know.",20,,,,
20,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",You want me to leave this place??,21,,,,
21,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",Wake up.,22,,,,
22,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",What did you say?,23,,,,
23,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",Wake up.,24,,,,
24,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Dreamer"")",Huh?,25,,,,
25,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",Wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up wake up.,[Finish],SpawnMemoryShard,26,,
26,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""CF_Family_2"")",The water is as red as blood yet no blood has been spilt.,[Finish],,26,,
