---,Participant,Text,JumpTo,EventName,ContinueFrom,Branchs,DialogueSound
[Start],"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Hey! Wanna join my our weekly poker nights? It'll be lots of fun.,1,,,,
1,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Maybe. When is it?,2,,,,
2,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",You know. Last Tuesday or some such.,3,,,,
3,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Last Tuesday?,4,,,,
4,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Of course [REDACTED]! You're so much fun to hang out with.,5,,,,
5,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",[REDACTED]? I'm not [REDACTED].,6,,,,
6,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Don't be modest. Much more than Riley is, anyway...",7,,,,
7,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Are you okay?,8,,,,
8,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")","Nice! Full house! That's what? A 0.1% chance? Damn, you're lucky.",9,,,,
9,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Hello?,10,,,,
10,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",I think Penelope's arrived. Someone go get the door.,[Finish],,11,,
11,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",It's very clear...,12,,,,
12,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Our love is here to stay.,13,,,,
13,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",Not for a year...,14,,,,
14,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",But ever and a day.,15,,,,
15,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",The radio and the telephone...,16,,,,
16,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",And the movies that we know...,17,,,,
17,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",May just be passing fancies...,[Finish],,,,
18,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",And in time may go.,[Finish],,19,,
19,"(DataTable=""""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"""",RowName=""""Player"""")",...,,,,,
